Map,Cluster,Algorithm,Run,Distance,Elevation,Turning
Map1,12,GA,10,2188.3405814884613,0.5515184216423226,67.10995923882686
Map1,13,GA,10,2487.2488319597906,0.7194719219411283,77.5443786140083
Map1,14,GA,10,1946.7223219954133,0.44099386730885115,70.49729138016602
Map1,15,GA,10,2691.3901732553218,0.8111214911448368,78.98884482784761
Map1,1,ACO,2,1333.519096729427,0.40519938756519913,107.9628728454053
Map1,2,ACO,2,1418.8830177247362,0.4009043307752993,105.18978625588448
Map1,3,ACO,2,1505.609353665065,0.40065279639385665,113.08472727293493
Map1,4,ACO,2,1583.6138485739218,0.55840192513201,118.86426601199933
Map1,5,ACO,2,1270.5192713872616,0.3720360002882135,106.92948941843707
Map1,6,ACO,2,1420.360196662724,0.34140364526288636,129.90585454130294
Map1,7,ACO,2,1204.8419649809416,0.28865989316619967,100.31851922440059
Map1,8,ACO,2,1090.1336741110001,0.4553241650469442,94.37219125742423
Map1,9,ACO,2,1340.0313830534626,0.9138459253315592,109.01831778435096
Map1,10,ACO,2,1041.329165075679,0.7517979924502498,91.01423331567139
Map1,11,ACO,2,1463.876434978464,0.34096315204174843,115.01391052375011
Map1,12,ACO,2,1395.270507505071,0.36039749230496376,124.45752062253497
Map1,13,ACO,2,1526.9403786316325,0.36438521540586777,138.29350064619524
Map1,14,ACO,2,1307.6956093343945,0.30674788734181035,113.91123870560746
Map1,15,ACO,2,1605.8208302804242,0.44163819398945314,118.4329579356921
Map1,1,ACO,3,1349.2989873622266,0.38685322196189453,105.94833213837217
Map1,2,ACO,3,1347.908774260765,0.32763399933319626,104.28196022714249
Map1,3,ACO,3,1375.397450320169,0.3955506853201136,126.0971390354826
Map1,4,ACO,3,1534.669450414422,0.5249436782900112,123.60920865701095
Map1,5,ACO,3,1225.537383013991,0.33376497444058195,106.13541677002817
Map1,6,ACO,3,1497.4447470707973,0.3462599493844536,108.6440837708361
Map1,7,ACO,3,1174.2268390732247,0.2931364269920689,101.31746304748809
Map1,8,ACO,3,1078.9905132450865,0.4673513766417745,93.59551627084714
Map1,9,ACO,3,1391.2621810319363,0.9430859608839963,102.57906840276799
Map1,10,ACO,3,1036.6287319175492,0.679716838394345,89.04726740473302
Map1,11,ACO,3,1445.095879884806,0.28980616986222785,116.24914302837891
Map1,12,ACO,3,1463.7790357952294,0.3726867513593337,115.99468912886688
Map1,13,ACO,3,1639.7272077573698,0.42368829317094026,130.83703074890516
Map1,14,ACO,3,1325.8043369961179,0.27885309454745055,113.60172591392099
Map1,15,ACO,3,1506.556736077652,0.474719233614481,135.44534947835544
Map1,1,ACO,4,1304.8356398218207,0.3943872262672894,108.49787554163484
